Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Ian Clark,UTA,UTA vs. LAL,04/14/2014,2013-14,L,2,3,1,1,100,1,1,100,0,0,-,0,1,1,0,0,0,0,0,5
Jordan Farmar,LAL,LAL @ UTA,04/14/2014,2013-14,W,22,4,1,6,16.7,0,2,0.0,2,2,100,0,1,1,6,0,0,1,1,8
Jodie Meeks,LAL,LAL @ UTA,04/14/2014,2013-14,W,35,23,8,13,61.5,2,3,66.7,5,6,83.3,0,2,2,0,3,0,1,1,4
Rudy Gobert,UTA,UTA vs. LAL,04/14/2014,2013-14,L,2,0,0,1,0.0,0,0,-,0,0,-,0,2,2,0,0,0,0,0,5
MarShon Brooks,LAL,LAL @ UTA,04/14/2014,2013-14,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-5
Enes Kanter,UTA,UTA vs. LAL,04/14/2014,2013-14,L,37,19,8,12,66.7,0,0,-,3,4,75.0,5,7,12,2,1,1,3,1,-12
Patrick Beverley,HOU,HOU vs. SAS,04/14/2014,2013-14,W,36,12,5,11,45.5,1,6,16.7,1,1,100,0,1,1,2,1,0,2,4,1
Damion James,SAS,SAS @ HOU,04/14/2014,2013-14,L,29,6,2,5,40.0,0,2,0.0,2,2,100,1,8,9,2,0,1,1,2,13
Terrence Jones,HOU,HOU vs. SAS,04/14/2014,2013-14,W,40,20,7,12,58.3,0,1,0.0,6,7,85.7,4,7,11,1,2,0,1,1,16
Tim Duncan,SAS,SAS @ HOU,04/14/2014,2013-14,L,30,12,4,10,40.0,0,0,-,4,4,100,5,4,9,2,0,0,2,0,-14
Francisco Garcia,HOU,HOU vs. SAS,04/14/2014,2013-14,W,14,2,1,3,33.3,0,0,-,0,0,-,0,3,3,0,0,0,0,0,-5
Aron Baynes,SAS,SAS @ HOU,04/14/2014,2013-14,L,22,6,3,6,50.0,0,0,-,0,0,-,1,2,3,1,0,0,1,5,0
Matt Bonner,SAS,SAS @ HOU,04/14/2014,2013-14,L,7,3,1,3,33.3,1,1,100,0,0,-,0,0,0,0,0,0,0,1,-4
Jeff Ayres,SAS,SAS @ HOU,04/14/2014,2013-14,L,19,12,5,7,71.4,0,0,-,2,3,66.7,0,3,3,1,0,0,0,2,-4
James Harden,HOU,HOU vs. SAS,04/14/2014,2013-14,W,35,16,4,16,25.0,0,4,0.0,8,8,100,0,2,2,7,1,0,1,4,6
Manu Ginobili,SAS,SAS @ HOU,04/14/2014,2013-14,L,22,10,4,12,33.3,0,4,0.0,2,2,100,0,3,3,2,0,1,1,2,-12
Omer Asik,HOU,HOU vs. SAS,04/14/2014,2013-14,W,17,8,3,4,75.0,0,0,-,2,2,100,1,7,8,0,0,2,0,2,-12
Chandler Parsons,HOU,HOU vs. SAS,04/14/2014,2013-14,W,40,21,7,17,41.2,2,7,28.6,5,7,71.4,1,6,7,4,0,0,0,1,16
