Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
DAL,DAL @ MIN,03/01/2020,2019-20,W,240,111,44,94,46.8,11,40,27.5,12,19,63.2,6,50,56,28,10,7,14,16,20
DEN,DEN vs. TOR,03/01/2020,2019-20,W,240,133,47,83,56.6,18,36,50.0,21,30,70.0,7,34,41,38,6,1,16,22,15
TOR,TOR @ DEN,03/01/2020,2019-20,L,240,118,41,89,46.1,10,38,26.3,26,29,89.7,8,28,36,24,9,4,12,24,-15
SAC,SAC vs. DET,03/01/2020,2019-20,W,240,106,37,91,40.7,9,35,25.7,23,26,88.5,17,34,51,18,8,7,11,20,6
DET,DET @ SAC,03/01/2020,2019-20,L,240,100,33,80,41.3,18,42,42.9,16,24,66.7,7,35,42,23,6,4,16,25,-6
PHI,PHI @ LAC,03/01/2020,2019-20,L,240,130,48,95,50.5,21,43,48.8,13,20,65.0,10,27,37,27,7,4,10,28,-6
LAC,LAC vs. PHI,03/01/2020,2019-20,W,240,136,45,76,59.2,13,24,54.2,33,41,80.5,6,31,37,25,6,6,11,17,6
GSW,GSW vs. WAS,03/01/2020,2019-20,L,240,110,42,89,47.2,9,28,32.1,17,24,70.8,18,34,52,25,7,7,22,24,-14
WAS,WAS @ GSW,03/01/2020,2019-20,W,240,124,40,82,48.8,20,30,66.7,24,27,88.9,5,29,34,24,10,5,13,20,14
LAL,LAL @ MEM,02/29/2020,2019-20,L,240,88,36,87,41.4,9,35,25.7,7,12,58.3,13,32,45,26,5,3,16,13,-17
MEM,MEM vs. LAL,02/29/2020,2019-20,W,240,105,43,95,45.3,10,31,32.3,9,11,81.8,15,36,51,27,10,4,10,14,17
POR,POR @ ATL,02/29/2020,2019-20,L,240,117,47,94,50.0,8,28,28.6,15,21,71.4,13,29,42,14,9,4,17,26,-12
ATL,ATL vs. POR,02/29/2020,2019-20,W,240,129,46,84,54.8,18,42,42.9,19,22,86.4,5,31,36,34,7,5,19,18,12
